,KYSE140-WTIFN-¦Ã,KYSE140-GFPIFN-¦Ã,KYSE150-WTIFN-¦Ã,KYSE150-MUTIFN-¦Ã,KYSE140-WTGranzymeB,KYSE140-GFPGranzymeB,KYSE150-WTGranzymeB,KYSE150-MUTGranzymeB
CPG,0.457365484,0.152430893,0.324932915,0.481089544,0.229804628,0.229804628,0.121497356,0.250903159
57,0.001182046,0.008078076,0.001834696,0.0347538,1.76752E-06,6.18242E-05,4.53102E-06,1.30848E-05
WH-57,0.013838916,0.006321168,0.001669764,0.05039138,0.007431636,0.041942684,0.003283214,0.015859944
67,0.01334185,0.008472058,0.001702749,0.003020691,0.016489026,0.06664084,0.007528767,0.116623999
WH-67,0.004073716,0.015793305,0.003465582,0.008001383,0.016028076,0.052839368,0.00611215,0.010740225
69,0.021122398,0.01148807,0.012268156,0.010270679,0.002423024,0.002350804,0.023539684,0.006228786
WH-69,0.002140627,0.001791212,0.001956394,0.012596394,0.000409825,0.015221082,0.0089493,0.01390463
