x y seurat_clusters
-3.30455462695531 -3.91470349746861 2
-5.62071196795873 10.6823295263656 3
-5.63014428378515 -6.4006267877213 2
9.14564354656764 5.53567348998866 1
-5.35436169864111 2.05331169647059 6
-3.21843211413793 -6.0852757783524 2
-3.78245537043981 -2.76321853119054 4
-4.32636468173437 -3.34014333206334 4
-2.35991947413854 -2.22431243377843 0
9.45800335644312 7.01341663879237 5
-5.51733796359472 11.0116103796371 3
-1.28325836421423 -6.25234235244908 0
-2.76817624331884 -6.32667840439 0
9.09170849560328 3.60310851615748 1
-2.03862027884893 -2.70740045028844 0
-0.203583785011097 -3.80714953857579 0
8.36243183849879 5.26031290572963 1
-4.61322324038915 -5.50877965408483 2
-5.85794322253637 10.5233873037704 3
-2.84568636180334 11.594286313475 3
-5.69485728503637 10.9991153387435 3
0.0667282932860414 -3.44389379936376 0
10.9923804545266 2.35788475555263 1
-4.8031355595725 10.9760764746078 3
-0.105309896780773 -3.88478125053563 0
-0.868889913572593 -6.30718148666539 0
7.85896618603297 7.9852431921371 5
-1.52664487124853 -6.70637477356114 0
-4.93302075625829 -8.07276547866979 2
8.26756413219996 8.29298149627528 5
-1.77965860129766 -2.79396308380284 0
-2.78591625453405 11.6995156912216 3
9.50312645672389 3.89546810668788 1
-4.08609192134313 -6.17166579681554 2
8.61121876476832 4.50569426101527 1
-1.82204191447668 -3.44298947769322 0
10.9704354548318 2.33404385131679 1
8.78545315502711 6.48976503890834 5
-1.25328950644903 -5.65380776840367 0
-5.47921483279638 1.00664185565791 4
-4.0512303567069 -2.66297496277013 4
-4.06361381770544 -3.34443701225438 2
-0.873442993177696 -5.15537084060826 0
-2.47801606418066 -7.24451650100865 0
-2.10154764415197 -6.82109178024449 0
-4.89466349841528 -6.63486255127111 2
-0.794775829328819 -5.44666112381139 0
9.55297405956812 3.71841727775416 1
0.156703754649834 -5.18781007248082 0
8.41888363598414 8.01475464385829 5
12.5066331171853 3.66494046729884 1
7.97084172009058 7.31758677047572 5
8.26831276653834 7.11772190612636 5
-1.82213155986242 -6.83866942840734 0
