TF_uniq	Origin
MTA3	nature
RIOK2	nature
PARP12	nature
PMS1	nature
HMG20B	nature
MBD3	nature
SMARCE1	nature
WNT8B	nature
ZNF638	nature
MKRN2	nature
BAZ2A	nature
RGS11	nature
PLXNA2	nature
UBE2K	nature
SP140	nature
RAPGEF3	nature
SRCAP	nature
DUSP12	nature
MYST3	nature
NUFIP1	nature
PDS5B	nature
SSH1	nature
MRPL28	nature
RBM22	nature
LASS4	nature
RBM27	nature
RAPGEF4	nature
DSP	nature
DEPDC5	nature
DMC1	nature
HMG2L1	nature
ZMAT5	nature
ZC3H7B	nature
PLEK2	nature
ZC3H14	nature
SMAD7	nature
RNF125	nature
SMARCA1	nature
EEA1	nature
FGD1	nature
MYST1	nature
CHRAC1	nature
PPP1R13L	nature
DOT1L	nature
SF3A2	nature
TRMT1	nature
AKAP8	nature
ZFR2	nature
MIER2	nature
PLEKHA4	nature
CBLL1	nature
ZC3HAV1	nature
MET	nature
EDF1	nature
DVL1	nature
LARP5	nature
CUL2	nature
TADA2L	nature
RGS9	nature
PSMD11	nature
TRIM3	nature
EXOC2	nature
GRM6	nature
TRIM23	nature
PLXNA1	nature
PIP5K3	nature
POLE4	nature
FARSB	nature
RPA2	nature
CASP8AP2	nature
TGIF2	nature
TRIM32	nature
C1orf25	nature
DEPDC7	nature
GTF3A	nature
ZC3H7A	nature
ZC3H13	nature
NRK	nature
BAZ2B	nature
HMG1L1	nature
CHD6	nature
RNF114	nature
ZBP1	nature
HIST1H1D	nature
HIST1H1A	nature
DEK	nature
RNF113A	nature
TTF1	nature
SLC2A4RG	nature
CENPB	nature
PRR12	nature
AHDC1	nature
YEATS4	nature
UBR4	nature
HP1BP3	nature
MACF1	nature
ZFP36	nature
MBD4	nature
KIAA1683	nature
ZC3H4	nature
PLXNA3	nature
ZFYVE20	nature
NR0B2	nature
LIN28	nature
UNK	nature
MKRN1	nature
MBD2	nature
PRB4	nature
RNF138	nature
DHX34	nature
DZIP1	nature
TRAFD1	nature
CD36	nature
PHF21A	nature
ZC3H10	nature
SLC26A10	nature
RC3H1	nature
PLXNC1	nature
SETDB2	nature
RAPGEF5	nature
NUPL2	nature
MYST2	nature
DNAJC1	nature
XPA	nature
APTX	nature
SMAD6	nature
SSB	nature
COPS4	nature
LARP2	nature
LASS5	nature
RBM26	nature
MBNL2	nature
RNF113B	nature
CUL4A	nature
HMG20A	nature
NCOA2	nature
ADAMTS17	nature
PCSK6	nature
TIGD7	nature
NCOR1	nature
COPS3	nature
SSH2	nature
MINK1	nature
MBD1	nature
DUS3L	nature
POGK	nature
LASS2	nature
POGZ	nature
GATAD2B	nature
ZC3H8	nature
SLC4A10	nature
FAM171B	nature
HES6	nature
GTF2H2	nature
ADAMTS19	nature
SCML4	nature
SHPRH	nature
MRRF	nature
POLE3	nature
TUT1	nature
SSRP1	nature
MTA2	nature
HMGA2	nature
KIN	nature
MBNL1	nature
SMARCA5	nature
CHD1	nature
SORBS2	nature
LARP1	nature
DEPDC6	nature
MYST4	nature
BRPF1	nature
FMNL2	nature
DZIP1L	nature
CUL4B	nature
ZC3H18	nature
RNF166	nature
U2AF1	nature
ADAR	nature
CPSF4	nature
DVL3	nature
U2AF1L4	nature
LARP4	nature
C17orf49	nature
BPNT1	nature
FBXO41	nature
VPS72	nature
DHX57	nature
GPR155	nature
TIPARP	nature
PBRM1	nature
ZDHHC19	nature
PLXNB1	nature
MST1R	nature
HMGB2	nature
TIGD6	nature
RELL2	nature
FBN1	nature
DEPDC4	nature
LARP6	nature
COPS2	nature
CUL5	nature
C12orf28	nature
RAG1	nature
ZMAT1	nature
ATMIN	nature
TERF2IP	nature
PPP2R3B	nature
GATAD2A	nature
ZNF528	nature
HIST1H1E	nature
USP39	nature
MECP2	nature
ZRSR2	nature
RNASE2	nature
TIGD4	nature
MGMT	nature
PKHD1	nature
CHD7	nature
HOPX	nature
CSDC2	nature
ZNF738	nature
SSH3	nature
KAT5	nature
TIGD3	nature
CBX2	nature
GTF2IRD2B	nature
LARP7	nature
ZNF674	nature
ANAPC2	nature
HMGB4	nature
CHD9	nature
CCDC71	nature
POLR2L	nature
DMAP1	nature
ZNF826	nature
H1FOO	nature
EIF3K	nature
FARSA	nature
HLA-DQB1	nature
MKRN3	nature
TIGD5	nature
TIGD2	nature
C10orf140	nature
YOD1	nature
KIAA1618	nature
TCEAL8	nature
RGS6	nature
RBM10	nature
RGS7	nature
LENG9	nature
OTOP3	nature
EWSR1	nature
MTA1	nature
JRKL	nature
SF3A3	nature
EP400	nature
HIST1H1B	nature
KNTC1	nature
H1FX	nature
ZFP90	nature
RFX6	nature
PRMT3	nature
GPATCH8	nature
HIST1H1T	nature
LIN28B	nature
HIST1H1C	nature
CPSF4L	nature
ZC3H6	nature
GTF2F2	nature
HILS1	nature
ZDHHC11	nature
H1F0	nature
ARID2	nature
HMGB1	nature
PLXNA4	nature
SEMA4A	nature
GTF2IRD2	nature
NCOR2	nature
PLXNB2	nature
ZNF512B	nature
SLC39A10	nature
ZGPAT	nature
PSMD12	nature
GPR123	nature
SLC22A4	nature
GTF2E2	nature
PRB3	nature
HELZ	nature
ZNF765	nature
PLXNB3	nature
TOX	nature
KRTAP5-9	nature
INF2	nature
RBM20	nature
RHOXF2B	nature
FOXO6	nature
RPA4	nature
HLA-DQB2	nature
ZNF805	nature
PPP1R10	nature
PRR3	nature
FOXB2	nature
PTCHD2	nature
FOXD4L5	nature
PKHD1L1	nature
LGR4	nature
DPF3	nature
KRTAP5-1	nature
HLA-DRB3	nature
IGHM	nature
ZRSR1	nature
ZNF578	nature
REPIN1	nature
