	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-DU-6410_1	332.038	76.7259	51.9223	0.6614	2.9764	182.5548	193.4684	5.2914	7.9868	9.26	0	27951.322	0.6614	2.315	9.9545	0.9921
TCGA-DU-6542_1	1978.8711	1803.8032	374.2831	1.2074	34.2087	1809.0351	2974.1423	11.2687	2.4429	722.8091	0.4025	24876.1002	2.4147	115.907	0.8693	5.6344
TCGA-DU-7006_0	1625.7176	2960.3904	2132.6062	0.287	214.1217	2139.4948	3867.3938	52.8129	8.7457	986.5098	2.2962	7238.3065	9.1848	394.9483	1.4696	10.907
TCGA-DU-7007_1	1331.6733	4189.243	2476.7596	2.324	19.9203	1614.8738	3043.4927	67.3971	5.8167	449.8672	12.6162	17572.6494	6.3081	253.3201	2.8884	8.3001
TCGA-DU-7008_1	1141.5489	787.5458	184.4584	2.8781	6.2794	447.6714	720.3035	15.6986	7.9853	164.8352	0	26796.1512	1.3082	10.4657	5.2407	3.4014
TCGA-DU-7009_1	893.6298	334.4351	33.6538	0.3005	8.113	371.3942	509.6154	16.226	14.6274	94.351	0.9014	24068.4826	0.601	9.0144	7.9778	1.2019
TCGA-DU-7010_1	1779.6866	1048.2218	219.4093	0.3014	6.0277	700.4219	899.9397	9.343	4.8433	178.7221	0.3014	10883.6407	0.9042	92.827	22.5286	3.6166
TCGA-DU-7011_0	3155.1571	2982.7771	666.5613	4.1401	20.3243	3099.0771	3000.8431	25.5935	4.5654	760.6552	1.8819	18308.0371	1.5055	126.8386	1.2571	12.044
TCGA-DU-7012_0	2311.5244	5022.2517	1618.7313	14.6131	113.2514	3672.8662	6588.5088	170.3753	107.3032	1273.3311	53.8027	11358.2763	18.5985	354.3673	5.6626	113.2514
TCGA-DU-7013_0	1091.702	710.1151	289.5215	0.7268	91.5809	1035.4936	2468.5645	315.4452	10.5536	350.0909	0.2423	16608.9255	9.9334	141.49	5.742	6.2992
TCGA-DU-7014_0	2441.8526	1100.6743	1336.5769	1.2271	7.3624	1001.8958	1154.665	14.7247	4.9543	261.3641	0	19926.0358	1.5338	92.3364	2.0737	2.1474
TCGA-DU-7015_1	3119.3367	1963.5771	121.4095	4.1457	28.4276	2139.769	3241.9307	21.0246	6.8434	785.3124	0.5922	26921.8833	2.9612	50.9328	5.878	7.6991
TCGA-DU-7018_1	729.021	270.4795	199.0509	2.4975	5.2448	372.8771	368.6314	0.999	10.1274	40.2098	0	33625.6044	1.7483	20.979	6.1513	7.4925
TCGA-DU-7019_1	1741.7927	1575.0678	419.6409	1.3311	16.6392	1281.2193	1892.8768	21.2982	3.6706	342.435	0.6656	23672.6401	5.9901	56.5733	2.3295	4.3262
TCGA-DU-7290_0	2332.0579	6363.2648	383.034	1.9345	34.8213	2382.6777	3293.5119	65.4511	11.778	1035.9328	1.2897	7706.3084	17.0882	256.6457	3.2564	12.2519
TCGA-DU-7292_0	1138.6139	251.6768	73.1396	0	19.4826	394.1233	654.7429	40.5621	5.4807	158.7352	0.9582	16217.314	1.9163	31.2999	2.9927	3.1939
TCGA-DU-7294_1	1017.7673	437.8143	98.8937	0	4.0228	436.8086	833.054	8.7161	7.4221	111.2974	1.0057	23058.9105	1.3409	12.7389	10.1576	8.7161
TCGA-DU-7298_1	1614.6949	950.215	395.0725	0.5831	15.7446	981.7042	2072.1627	10.4964	7.0821	377.5785	0.2916	21151.6525	1.1663	9.9133	0.5132	0.8747
TCGA-DU-7299_1	2201.8742	913.5207	44.4444	1.071	9.3708	1223.8286	1925.8367	6.9612	4.8273	558.5007	0	18520.2838	0.2677	15.7965	4.2303	5.3548
TCGA-DU-7300_1	1009.018	848.8459	161.4958	1.6547	18.8632	673.4508	1441.5488	44.3452	19.727	147.2657	3.3093	16622.2255	5.6259	76.4458	0	4.964
TCGA-DU-7301_1	1296.669	4254.3373	1098.5427	0	25.3296	1757.4601	3362.9424	2.7759	6.6412	349.4101	1.0409	17189.8959	5.8987	83.6225	3.1783	8.6745
TCGA-DU-7302_1	935.5828	185.4124	59.6455	0	12.9516	423.3129	591.3429	21.4724	9.7001	136.3327	0.3408	20563.9502	0.3408	11.5883	1.7723	2.045
TCGA-DU-7306_1	1802.933	812.0491	969.6393	0.9512	41.2208	867.5386	1551.8034	5.7075	2.8633	233.373	0.3171	25934.3417	1.2683	22.1958	0	1.5854
TCGA-DU-7309_0	2026.2221	897.7015	190.6766	0.9712	16.1865	973.4542	917.449	34.639	12.4603	464.5516	0.6475	18849.5986	1.6186	66.0408	2.7031	3.2373
TCGA-DU-8158_0	3052.3571	3046.2053	5035.9077	3.4771	50.5517	1742.8285	3174.5904	144.7008	35.9933	699.4316	4.012	13711.7379	18.7228	234.5704	0.5296	16.3156
TCGA-DU-8161_0	3092.3123	2487.5908	2370.7627	2.4213	49.0315	2386.1985	3447.3366	106.2349	33.9346	675.2421	5.7506	9387.1943	27.5424	120.1574	7.273	43.8862
TCGA-DU-8162_0	974.4066	540.2483	79.0607	1.0136	41.8954	598.3613	908.1848	53.7208	9.9096	281.1048	1.6893	19965.9228	1.0136	40.8818	7.9331	1.3515
TCGA-DU-8163_1	3156.5641	1691.6842	81.2919	4.8775	23.5746	1679.8969	2969.1863	13.4132	6.9627	862.1005	0	19406.1018	3.6581	36.5814	1.4754	9.755
TCGA-DU-8164_1	585.0938	318.204	102.3496	0.8366	12.5497	321.8295	533.2218	11.4341	15.9074	81.9912	0.5578	22362.2478	0	5.0199	3.5753	2.5099
TCGA-DU-8165_0	1273.2733	3068.3183	1185.4354	2.2523	16.1411	1863.3634	2471.4715	109.2342	42.8904	674.5495	9.7598	4471.1149	8.6336	277.027	11.1562	21.021
TCGA-DU-8166_1	1320.2294	2253.3692	130.0875	0	40.2954	721.8269	897.6037	13.326	3.8296	385.5032	1.5864	23659.2818	24.4311	28.8731	3.9566	5.0766
TCGA-DU-8167_1	2364.148	7102.8661	373.5279	1.6675	9.5883	1506.618	3007.8166	13.3403	3.7686	561.9594	0	16304.6462	12.5065	84.2105	2.8431	2.0844
TCGA-DU-8168_1	632.665	310.2357	243.8738	0.2345	15.0076	310.2357	469.6916	10.5522	26.5049	28.6083	2.8139	24338.1381	0.7035	17.5871	7.3537	1.1725
TCGA-DU-A5TP_1	1642.4466	10113.711	1415.8456	0.821	106.3218	2053.7767	4554.5977	38.9984	7.0033	833.3333	2.8736	7974.0722	12.7258	194.9918	1.9458	8.6207
TCGA-DU-A5TS_1	3019.6869	872.4229	24.8024	1.8602	0.6201	829.0188	1336.2269	6.8206	8.6932	361.4943	0	13144.3931	0	20.4619	0	1.2401
TCGA-DU-A5TT_0	2779.4635	866.0178	268.6599	0.8639	7.7747	718.73	1413.2719	12.094	14.4999	249.655	2.5916	8574.3145	2.5916	100.2075	5.0406	4.3193
