	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-FG-7638_1	1159.5837	387.2507	44.2324	0.8673	4.7702	469.6444	609.2801	18.2134	5.2775	135.7329	0	20589.7355	0.4337	52.0382	3.7467	20.8153
TCGA-FG-7641_1	723.8657	155.3848	68.2177	0	8.4219	303.6109	340.2463	23.1603	10.1316	101.9055	0.4211	20748.7946	0	1.2633	9.201	10.5274
TCGA-FG-7643_0	1736.4032	187.8173	145.7578	2.5381	54.7498	687.4547	651.1965	46.0479	8.4409	246.1929	1.8129	16021.7984	1.0877	52.5743	3.7962	6.8891
TCGA-FG-8181_0	1554.2027	348.7824	260.0157	3.535	9.8193	502.7494	419.4815	79.7329	5.1964	149.2537	3.1422	13186.8657	3.535	103.2993	4.3755	2.7494
TCGA-FG-8182_1	3061.5424	1320.2089	73.2689	1.3695	17.8036	1437.9868	2627.065	9.929	7.5974	793.2894	0	20383.7199	1.0271	11.2985	6.2381	1.7119
TCGA-FG-8186_1	2240.9784	1102.7474	1228.1457	0	25.1486	1023.1677	1858.5824	24.1151	13.5423	267.3327	1.0335	26499.6297	8.6125	33.4166	1.7225	5.512
TCGA-FG-8187_1	2568.5535	802.935	27.2537	0.4193	14.6751	825.9958	1025.5765	11.3208	12.6792	329.5597	0.8386	18802.2096	1.6771	12.9979	3.5304	74.2138
TCGA-FG-8188_1	2559.1291	1633.3498	122.7115	2.9688	14.8441	1272.6373	2394.3592	0.4948	2.4839	347.3528	0	18846.3286	2.474	14.8441	0	3.9584
TCGA-FG-8189_0	913.3607	172.8226	15.9599	0.456	16.8719	208.3903	189.6945	90.7433	7.8386	105.7912	0.456	14133.4291	1.368	25.9918	4.902	0.456
TCGA-FG-8191_1	2466.0124	858.2334	774.9909	1.0905	29.0803	1005.0891	2002.5445	25.0818	1.1087	383.8604	1.0905	22179.1894	44.3475	46.165	5.2054	6.9066
TCGA-FG-A4MT_1	1509.8296	557.8855	566.1861	1.7475	5.2425	669.7248	1104.8493	30.581	4.8318	249.017	0	16220.0612	6.5531	30.1442	2.2237	2.1844
TCGA-FG-A4MT-_1	1549.9509	1517.1962	494.5955	0	4.5857	850.9663	1447.1012	0	8.5883	253.5211	0	18362.4042	3.2755	12.4468	4.7953	0
TCGA-FG-A4MU_0	1493.4265	4534.1002	7564.5029	2.4651	36.1545	1799.0961	3051.7666	9.4495	7.0501	429.7453	0	8178.8578	14.3796	244.4536	2.4322	4.1085
TCGA-FG-A4MW_0	1701.3233	540.9864	135.4185	2.7496	7.5614	583.6054	1267.5717	8.9362	3.4439	166.3516	1.3748	15438.5565	1.3748	94.8617	4.2413	3.437
TCGA-FG-A4MX_1	1323.2932	1171.6867	136.5462	0	0	799.1968	802.2088	6.0241	16.5462	170.6827	1.004	13894.4779	12.0482	24.0964	4.8996	4.0161
TCGA-FG-A4MY_1	1220.5661	1960.8106	475.6322	0.6699	4.6893	596.8849	1444.9841	13.3981	6.0559	114.5537	0	20099.7354	2.0097	97.8061	0	1.3398
TCGA-FG-A60J_1	2802.8375	2075.9441	427.2898	1.2518	15.4392	1282.7039	1947.4233	12.9355	14.0204	382.2241	12.101	22382.149	10.4319	66.3468	3.3382	8.7628
TCGA-FG-A60K_1	1648.354	336.1914	27.522	2.1171	2.9639	614.7983	886.2073	5.5044	3.8573	232.0313	4.2341	20896.5513	0.4234	12.7024	5.2207	8.8917
TCGA-FG-A60L_0	6262.8039	4438.6963	120.0207	10.3466	0	1777.0305	3309.3637	13.4506	8.3445	491.9814	5.6906	18002.0538	11.3813	96.2235	3.6627	3.104
TCGA-FG-A6IZ_0	1760.2592	1154.6436	86.3931	0	0.432	516.6307	1228.5097	2.5918	13.9395	114.0389	2.5918	17046.2203	4.3197	35.4212	0	6.0475
TCGA-FG-A6J1_0	3105.8468	1978.3266	78.629	2.0161	1.5121	733.3669	1252.5202	11.0887	3.0292	239.4153	0.504	18647.1472	8.0645	174.3952	0.9022	6.5524
TCGA-FG-A6J3_0	2022.1127	13029.972	999.0675	1.0657	4.7955	1579.326	5401.8916	93.2463	1.6145	378.3136	0	12627.1427	28.2403	684.6943	1.7317	8.5254
TCGA-FG-A70Y_0	5639.866	1492.8811	1297.3199	8.794	3.7688	1662.0603	2419.1792	6.7002	5.9003	494.5561	0.8375	23865.8961	1.675	22.6131	2.8601	1.675
TCGA-FG-A70Z_0	2192.9121	2697.0913	2188.9	12.3704	13.7078	1898.0274	2195.5868	36.1083	14.323	404.2126	11.3674	13888.5222	7.6897	226.0114	11.6583	6.0181
TCGA-FG-A710_0	1847.9101	4796.2768	171.4085	2.1075	19.6698	1895.3284	3524.0604	15.8061	8.4826	383.9129	1.405	18165.8131	60.4145	120.4777	3.1999	7.0249
TCGA-FG-A711_0	4112.2807	187.2807	15.3509	0	2.6316	721.4912	821.4912	14.9123	3.9868	353.5088	0	17690.1447	0	6.5789	6.25	0
TCGA-FG-A713_0	1365.2436	304.4416	42.6908	1.7249	8.6244	428.2018	519.6205	39.2411	11.3928	150.0647	0.4312	18021.3454	0.4312	18.9737	5.3471	5.6059
TCGA-FG-A87N_0	932.4044	1337.6816	999.4071	0.5929	5.9294	740.587	1287.5778	76.1933	2.9825	255.2624	0.5929	17411.7492	2.9647	24.6072	10.3617	0.2965
TCGA-FG-A87Q_0	3457.8974	1679.1231	1381.6642	0.4983	76.7314	2225.2118	3522.1724	42.85	4.001	552.0678	0	13174.4893	7.4738	242.6507	4.006	7.4738
TCGA-FN-7833_1	3333.8279	11556.7507	13141.3205	8.1602	65.2819	3711.4243	4467.3591	5.1929	3.7315	621.2908	2.2255	18017.6372	15.5786	122.7745	1.6432	3.7092
TCGA-HT-7467_1	1466.9949	303.1252	34.9071	0.2984	8.0555	531.6626	597.0016	27.7467	21.1442	208.2494	0.8951	20267.6423	0.5967	24.7632	6.1729	2.3868
TCGA-HT-7468_1	1055.9665	693.4706	143.4545	0.9649	8.6845	584.4323	1231.9074	15.7607	3.5864	113.5413	2.8948	25337.6681	1.2866	29.2699	2.2805	7.0762
TCGA-HT-7469_0	891.7114	547.4678	23.4489	0.3257	8.7934	525.6473	1200.456	2.2798	12.5289	187.9173	0.3257	8209.2754	2.9311	19.5408	4.4553	5.5366
TCGA-HT-7471_1	1313.2764	3706.1335	1437.8882	0.3882	20.5745	1373.8354	2613.7422	15.528	14.9961	287.6553	1.1646	19319.5575	1.5528	195.6522	1.5334	11.646
TCGA-HT-7472_1	2273.952	1942.5989	836.4154	0.6694	24.4331	1711.6559	2742.8667	22.4249	10.851	658.0202	2.6776	22444.4448	4.6858	64.2624	1.5028	7.0287
TCGA-HT-7473_1	3245.7185	3845.0408	6192.5085	5.8613	38.0987	2477.8826	6692.5543	41.3957	4.7733	932.6861	8.0593	16091.2208	5.495	177.3056	3.1175	10.99
TCGA-HT-7474_1	1312.6165	372.5473	29.8322	0.3551	7.1029	490.8106	663.056	32.6734	6.0801	164.7874	0.7103	21100.5416	1.0654	46.524	0	2.486
TCGA-HT-7475_1	1237.828	251.5267	46.8724	0.3301	5.9416	313.9132	335.0388	30.038	7.6745	123.4527	0	17429.9389	0.6602	94.0749	3.7234	0.9903
TCGA-HT-7476_0	2011.5512	643.1518	75.0825	2.0627	5.363	918.3168	864.6865	42.4917	10.8457	284.6535	4.1254	14125.1196	1.6502	378.7129	2.0545	4.538
TCGA-HT-7477_1	943.6514	1300.9016	71.3749	3.0053	6.7618	720.1352	1173.5537	11.6454	2.3065	133.3584	0.7513	9080.5748	3.3809	129.6018	7.9677	2.2539
TCGA-HT-7478_1	3575.3846	4075.8974	310.4274	2.3932	19.8291	2776.7521	5255.7265	53.6752	4.1265	943.5897	5.1282	12806.0068	16.4103	193.1624	2.9368	10.9402
TCGA-HT-7480_1	948.7276	211.1304	6.343	0.6041	11.7798	505.3236	549.4223	7.8532	8.5177	220.4938	1.2082	22518.0518	0.302	3.9266	4.5337	7.5512
TCGA-HT-7481_1	1841.1296	348.0934	69.926	1.5368	4.2263	431.8509	605.8976	18.8262	10.9653	124.8679	1.5368	24020.9586	0.7684	6.9158	4.0188	20.3631
TCGA-HT-7485_1	1701.9722	1284.8795	27.027	0.3652	32.8707	1159.9708	1935.3543	6.9394	7.374	479.1819	1.0957	25176.019	0.7305	28.1227	3.4332	38.3492
TCGA-HT-7601_1	4174.4836	6890.3272	1832.432	9.2207	25.5342	3981.9133	5018.1754	79.4397	12.9373	874.5456	1.0639	20455.5794	9.5753	122.3513	5.1068	15.9589
TCGA-HT-7602_1	2330.5613	1154.4141	12.3581	3.4091	7.2444	1129.6979	1686.2372	7.2444	10.8708	519.0389	0.8523	18811.6353	0.8523	18.324	0.5582	10.2274
TCGA-HT-7603_1	1576.7093	285.7015	24.9705	0.9729	12.9717	262.6768	537.6767	68.75	1.6377	126.474	0.9729	15994.9962	0	7.4587	1.1512	1.2972
TCGA-HT-7605_1	1073.2894	804.7524	30.0601	0	19.1812	541.3685	861.7234	31.4916	14.1741	195.2476	0.5726	22280.0773	4.008	12.3103	2.7684	35.2133
TCGA-HT-7606_1	965.7407	366.6667	42.5926	1.2346	1.8519	529.6296	855.2469	3.3951	4.3488	229.9383	0.6173	18104.7716	0.3086	31.4815	0.9012	0.9259
TCGA-HT-7607_1	1202.3569	909.7643	253.8721	1.6835	17.5084	587.8788	888.5522	54.5455	8.2088	188.8889	2.3569	21310.7879	0.6734	48.1481	4.9697	8.0808
TCGA-HT-7608_1	5659.449	1659.1895	367.6885	0.7985	14.3722	843.5677	867.9206	7.1861	8.4956	240.335	0	22553.3153	1.9961	51.1011	5.2578	50.7019
TCGA-HT-7609_1	2699.6109	1575.0973	129.572	0.7782	12.8405	1125.2918	1566.9261	0.7782	4.6809	566.9261	86.3813	22244.6926	1.5564	22.179	0.7549	4.6693
TCGA-HT-7610_1	1431.0333	481.1724	65.1333	0.5428	14.9264	581.8577	577.5154	40.1655	9.5882	309.3833	1.6283	22088.546	1.0856	6.2419	4.3069	1.8997
TCGA-HT-7616_1	1946.7492	1639.6285	9148.7307	4.9536	38.1424	1931.8885	2967.678	79.7523	22.2118	224.8916	19.8142	14511.2669	19.8142	228.8545	10.6006	50.031
TCGA-HT-7620_1	1411.4858	329.8209	16.8599	0	9.4837	889.8841	1229.1886	9.4837	13.2719	474.1834	0.5269	24004.6839	1.0537	12.6449	1.3646	89.0411
TCGA-HT-7676_1	3705.8824	3690.6763	60.024	5.2021	13.2053	1844.3377	3616.2465	13.2053	5.6222	540.6162	0.8003	16752.7651	2.401	37.615	8.4474	4.0016
TCGA-HT-7677_1	676.8648	663.7529	26.5152	0	9.9068	354.6037	708.3333	13.986	17.9545	147.1445	3.7879	22038.1818	3.7879	45.7459	3.648	17.1911
TCGA-HT-7680_0	4200.7019	1612.8237	1615.1001	0.3794	34.1459	1037.6553	1967.5614	34.9047	13.8443	689.3674	1.5176	12474.5215	2.2764	106.611	0.5236	14.0378
TCGA-HT-7681_0	1488.0383	880.7302	294.3177	0	8.0026	709.119	1057.2319	67.1329	23.8566	202.2879	1.3338	17799.2993	4.8905	69.3558	0	17.339
TCGA-HT-7684_1	4343.5532	3457.2066	2345.5756	0.5689	5.689	1549.6842	3060.1143	2.8445	4.6593	356.7004	0	22492.5396	9.1024	27.3072	0	0.5689
TCGA-HT-7686_1	5770.0183	2876.0512	1585.7404	0.3656	20.1097	2926.5082	4140.0366	27.7879	4.0439	435.1005	0.3656	14575.0896	3.2907	235.8318	0	2.925
TCGA-HT-7687_1	1373.8843	575.9391	629.8447	2.8371	15.2496	585.1598	1184.1507	34.4003	11.2741	146.1126	6.3836	20027.7082	5.3196	54.9696	2.6102	9.2207
TCGA-HT-7688_1	893.2304	550.3108	106.0182	0.2732	17.4875	426.8051	436.3686	46.4513	8.2355	123.5057	2.7324	17040.306	0.5465	34.9751	2.6887	2.7324
TCGA-HT-7689_1	1619.4043	1136.3404	19.7447	1.3617	14.2979	914.383	1802.2128	3.7447	6.543	394.5532	0.6809	24090.4409	0.6809	20.766	1.1132	4.766
TCGA-HT-7690_1	3386.1596	3271.0822	1988.8316	5.3722	7.6341	1738.0363	2442.9208	38.4534	9.7349	380.2926	0.2827	15466.1257	8.7651	146.1794	10.5125	5.3722
TCGA-HT-7691_0	7929.4057	2314.041	577.9047	1.7303	22.1472	1344.753	2372.8696	22.4933	6.3223	500.3893	2.4224	12908.6911	28.7222	198.287	4.4675	12.4578
TCGA-HT-7692_1	1167.8082	696.347	278.5388	0	3.4247	1100.0761	799.4673	10.6545	19.8744	166.6667	0.3805	25616.9749	1.1416	7.9909	4.7679	4.1857
TCGA-HT-7694_1	2171.0245	471.9618	84.1967	0.3289	24.0092	300.6085	437.4281	37.1649	9.676	78.2766	0.6578	17240.4539	0.6578	8.2223	6.1898	5.9201
TCGA-HT-7695_1	967.9971	335.6907	49.2245	0.7612	8.3732	394.0497	603.3806	27.6571	12.5776	133.7181	0	19067.1603	1.2687	8.3732	1.9157	7.8658
TCGA-HT-7854_0	4073.6417	1366.502	2121.9578	1.0777	44.185	1367.5797	3379.6138	24.7867	5.4279	595.5995	2.8738	15122.2811	10.0584	130.3996	1.6848	4.67
TCGA-HT-7856_0	2370.4159	467.4406	416.3912	0.3075	21.8344	344.7374	667.333	51.0494	13.4697	154.3784	1.5376	18242.5094	1.5376	35.9806	1.2486	0.9226
TCGA-HT-7857_0	3755.704	14928.7759	2690.7261	6.2462	171.7706	5998.0914	9592.0881	206.8188	5.9964	1361.6726	9.0223	11047.0131	24.6378	401.8392	6.555	22.5557
TCGA-HT-7860_0	1703.8905	585.0144	1157.0605	6.4841	145.8934	1151.2968	2091.4986	23.7752	12.6549	640.1297	0.3602	8415.9042	3.6023	329.2507	2.0389	9.7262
TCGA-HT-7873_1	2326.4105	673.426	87.3262	2.2895	17.6615	1018.4791	2050.0409	1.3083	9.5536	453.6386	0	19496.1603	0.9812	12.4285	2.6525	3.2706
TCGA-HT-7874_1	1975.2011	267.7614	97.8552	0	17.0912	385.0536	441.0188	38.2038	6.4812	131.0322	0	19238.3412	0.3351	14.4102	1.813	14.0751
TCGA-HT-7875_1	938.5316	201.9312	39.8915	0.6185	7.4217	298.7221	382.5251	8.3494	16.3369	101.1202	0.3092	12375.493	0	11.1325	3.1202	55.3533
TCGA-HT-7877_1	1694.5048	130.7048	71.4064	1.5523	9.6243	369.14	483.7007	25.7684	10.0435	147.7802	2.4837	18747.4946	0.6209	71.4064	2.9618	7.4511
TCGA-HT-7879_1	2150.5305	1023.2095	131.2997	2.6525	7.2944	1227.7851	1925.0663	6.9629	11.0875	456.8966	0.3316	16876.1306	0.3316	12.2679	8.7599	4.6419
TCGA-HT-7880_1	2003.4898	336.2944	15.5457	0.6345	16.4975	574.5558	637.6904	45.0508	17.4397	350.5711	2.8553	14347.4778	0.9518	43.7817	2.6301	9.2005
TCGA-HT-7881_1	1489.3329	95.8347	13.8842	1.3546	12.191	220.7924	301.0498	47.0708	9.6275	108.703	2.3705	18961.5848	1.3546	16.5933	1.8862	4.7409
TCGA-HT-7882_0	856.6236	14971.2099	20067.7188	7.6518	117.0732	7995.4089	13307.6997	255.9541	13.4711	1523.4816	14.5385	2694.3587	133.5246	1876.9967	5.3448	36.7288
TCGA-HT-7884_1	2189.4931	674.2857	109.1244	1.4747	3.6866	485.8986	894.3779	5.8986	8.9401	186.5438	1.106	22996.4055	1.4747	12.9032	2.8498	1.106
TCGA-HT-7902_1	2077.4453	168.619	53.4209	2.9844	12.2361	617.1753	740.4312	20.5924	11.096	304.7079	5.6704	21351.5303	0.5969	59.3897	1.4534	2.3875
TCGA-HT-8010_1	3423.8724	431.7093	70.2486	1.2772	10.218	694.3964	723.3473	34.4857	16.5999	401.0554	8.0892	15067.5887	0.8515	24.2677	0.9877	81.7438
TCGA-HT-8011_0	981.2916	600.5479	101.4481	3.4442	6.5753	655.6556	1547.3973	8.454	21.4669	39.7652	1.5656	12968.5041	8.7671	67.319	5.2853	6.8885
TCGA-HT-8012_1	1564.0625	824.0625	295.3125	0.3125	6.5625	738.75	1223.4375	4.0625	9.4281	110.625	0.625	23496.2562	1.5625	7.1875	2.0969	8.75
TCGA-HT-8013_1	4084.1692	10054.1519	1392.2619	3.9219	10.2572	3355.9092	3564.9747	1.8101	6.0698	934.6105	0.3017	15081.3425	2.4135	28.9615	3.1978	1.8101
TCGA-HT-8015_0	1957.4185	1512.5305	13.3067	0	15.9681	934.5753	1173.6527	88.2679	10.3171	581.9472	0.4436	16889.7716	3.1049	164.5598	2.5194	5.3227
TCGA-HT-8018_1	3141.0013	3177.4398	1597.9087	4.1191	23.7643	1430.9252	2586.8188	97.5919	10.5355	384.6641	6.0203	13477.3986	12.9911	296.8948	2.3638	12.0406
TCGA-HT-8019_0	1596.2876	230.7369	12.4375	3.431	9.0065	329.8079	311.3662	78.9137	16.9493	144.5322	0	11751.4775	0.4289	33.8814	1.2266	2.5733
TCGA-HT-8104_0	1094.6659	652.9894	17.2919	8.2063	45.1348	641.5592	1743.8453	26.6706	7.1659	224.7948	0.2931	11247.7462	3.2239	87.925	16.4537	3.517
TCGA-HT-8105_1	1455.5598	587.8159	583.8686	0.6579	17.1049	801.298	915.1113	18.0917	26.6113	99.3399	3.6183	15799.863	2.6315	66.7748	4.6479	2.9605
TCGA-HT-8106_1	5945.045	5385.2628	35879.8581	155.7884	31.3557	6569.1889	9732.1561	596.4188	140.2921	1320.9011	998.1022	7393.8015	141.2658	480.8978	5.2744	191.4349
TCGA-HT-8107_0	1090.7204	674.2195	121.4218	0.3459	31.4797	291.9658	340.742	66.7647	8.5307	148.0585	1.0378	13405.656	0.6919	11.7617	1.4737	2.4215
TCGA-HT-8108_1	3308.1891	822.4614	396.0693	1.8718	15.3486	1663.2663	1948.9003	7.1128	8.7	636.0318	6.7384	21102.6561	0.3744	34.4408	2.8414	3.7436
TCGA-HT-8109_1	1551.1264	626.3094	52.656	0.3708	18.17	657.4581	1100.9549	50.8019	11.6029	338.1849	1.4833	22635.4352	0.3708	11.1245	0	30.0362
TCGA-HT-8110_0	2851.1967	2458.0456	1363.3526	1.5136	36.7042	2781.1938	7408.5706	29.1363	14.2163	1111.7207	4.1623	8504.3648	20.8117	309.5261	0	41.6233
TCGA-HT-8111_1	4269.0948	907.0014	123.0552	3.1825	9.1938	1455.7992	2849.7171	20.1556	15.0354	688.826	6.3649	11865.0955	3.5361	56.5771	3.9851	13.7907
TCGA-HT-8113_0	1546.8453	233.6125	44.6678	0.4467	19.2071	277.3869	254.1597	53.1547	8.1563	102.7359	7.1468	14353.3758	1.34	32.1608	7.2228	3.1267
TCGA-HT-8114_1	3911.281	1731.9898	3574.7047	1.3899	31.9666	1702.8029	2081.5381	30.5768	4.6745	676.164	3.4746	21568.0403	4.6328	97.0581	3.0183	5.5594
TCGA-HT-8558_0	919.6705	113.0104	31.8838	0.3543	13.462	405.6328	309.6271	74.3955	14.7516	132.1406	0	16075.5256	0.7085	8.5023	10.7307	2.4799
TCGA-HT-8563_1	3120.2167	9619.0315	32919.404	4.4023	181.849	6398.2391	13558.4152	163.2238	30.5181	1684.7274	4.0637	15223.9248	36.9116	430.0711	3.1155	35.8957
TCGA-HT-8564_0	3290.5324	823.1906	99.2288	1.8582	28.6166	942.8598	1094.4904	68.7541	12.4686	429.9916	3.3448	11717.9522	10.0344	69.1257	3.5195	5.5747
TCGA-HT-A4DS_0	4106.4923	1582.784	514.1932	5.6427	2.116	1673.773	3520.3544	28.919	6.475	431.6684	1.4107	9090.4282	11.2854	541.7015	0	0
TCGA-HT-A4DV_1	2048.8	612.8	20.8	0.8	4	704	970.4	22.4	14	229.6	2.4	17528.632	4.8	22.4	3.208	0.8
TCGA-HT-A5R5_1	3775.2694	2040.0205	500.2565	1.0262	50.2822	1233.4531	2710.1077	19.4972	2.5859	459.2099	0	16718.353	61.57	81.0672	8.7224	8.2093
TCGA-HT-A5R7_1	2605.8648	331.2986	83.3034	0.9575	8.6176	429.4434	639.617	41.173	12.5338	142.6691	0	12643.3369	2.3938	18.6715	3.2364	3.3513
TCGA-HT-A5R9_0	803.688	413.3382	78.8813	1.3523	2.7045	261.886	378.1796	15.7763	12.7157	55.8931	9.4658	19306.6962	3.606	145.1416	3.0381	1.3523
TCGA-HT-A5RA_0	1218.1541	1283.3715	525.553	5.3394	15.2555	787.9481	1194.8894	16.7811	8.5202	247.521	0	5522.2616	5.7208	463.0053	12.0748	4.958
TCGA-HT-A5RB_1	1108.3413	467.4017	16.2991	0	9.5877	478.4276	546.0211	18.6961	6.7498	186.4813	3.8351	17899.4775	1.9175	8.629	1.0738	2.8763
TCGA-HT-A5RC_0	1363.7487	841.4429	281.8294	4.9444	141.1395	905.2703	1431.6215	12.1362	4.5084	449.0392	0	10713.2397	3.5959	76.4131	2.207	2.6969
TCGA-HT-A614_1	1538.3396	728.1994	48.2865	1.4632	0.9755	735.0278	1486.1512	8.2916	7.3503	251.6751	3.4142	16278.6082	0.4877	17.071	0.8877	2.9265
TCGA-HT-A615_1	1536.6992	2215.5282	53.4578	1.6971	32.2444	1934.2384	2817.1404	34.3657	32.2995	407.2974	0.8485	16869.1896	5.5155	30.9716	5.4094	25.4561
TCGA-HT-A616_1	1795.7907	583.0427	83.7041	0.4811	6.2538	435.3578	627.3001	42.3331	4.3488	168.3704	0.9621	13746.0108	0.4811	28.8635	0.7312	2.4053
TCGA-HT-A617_0	1712.6938	905.0388	2856.1047	7.2674	23.7403	1690.407	3651.6473	77.5194	7.8634	382.7519	13.5659	7286.1483	20.8333	269.3798	4.5688	9.2054
TCGA-HT-A618_1	4553.405	4121.8638	550.0597	2.3895	24.8507	2409.08	2431.0633	46.8339	1.9307	1020.3106	6.6906	12902.3035	2.3895	226.5233	1.2569	7.1685
TCGA-HT-A619_1	735.2575	102.7731	249.0096	2.7165	0.9055	288.8512	329.5982	8.1494	2.721	9.9604	1.811	19769.408	0.4527	8.6022	0.8829	1.811
TCGA-HT-A61A_0	1594.767	166.9786	73.0834	1.452	4.356	477.7041	481.0921	84.6993	6.9066	212.9583	0.484	14228.3614	1.452	11.6159	2.3861	6.2919
TCGA-HT-A61B_1	5267.3179	9965.8082	982.238	13.3215	4.8845	3184.7247	4568.3837	6.6607	9.3339	535.0799	2.6643	8996.3144	7.1048	211.8117	7.1314	6.2167
TCGA-HT-A61C_0	881.0114	2119.0622	724.6839	3.9278	29.4587	1102.9336	2742.4082	130.011	5.9546	280.4468	3.1423	8884.9628	11.3907	152.7924	7.9421	2.7495
TCGA-HT-A74H_0	2697.1256	1285.8039	116.4805	4.5186	6.0249	1201.9581	3350.8221	79.3272	15.9257	456.8846	2.0083	14186.8959	5.5228	312.2882	4.4785	10.5435
TCGA-HT-A74J_0	4589.788	418.8663	188.2302	0.4327	9.5197	686.283	1595.846	13.4141	10.463	402.8559	0	24498.7971	1.2981	16.8758	12.354	2.5963
TCGA-HT-A74K_0	1445.1004	3804.6045	776.8595	2.9516	1.1806	921.4876	1872.4911	6.4935	7.2137	190.673	0.5903	19883.6718	2.9516	170.6021	8.7898	2.3613
TCGA-HT-A74L_0	2596.573	624.004	220.7431	1.0331	13.7749	959.4234	1739.7728	1.3775	9.3842	327.1544	0	31587.7785	3.0994	3.0994	1.9044	3.7881
TCGA-HT-A74O_0	2625.7317	4301.995	515.5895	6.6898	7.1676	2574.125	7520.2485	35.3602	6.3314	669.9319	0.4778	16473.1239	12.4238	233.6638	2.0499	7.6454
TCGA-HW-7486_1	1761.9048	1113.0064	78.5359	1.7768	15.6361	899.7868	1903.6958	8.8842	7.9033	249.8223	0.3554	26234.8721	0.7107	27.7186	1.6631	16.3468
TCGA-HW-7487_1	1836.5319	280.876	254.685	0.4516	14.4502	919.3949	577.557	17.6112	10.5035	128.2457	0	17346.2858	0.9031	6.322	7.8709	4.0641
TCGA-HW-7489_1	2878.1537	785.5208	231.8958	0.6964	13.9277	669.9211	887.541	37.6047	9.14	271.2414	1.0446	16423.6624	0	26.1144	10.8845	1.741
TCGA-HW-7490_1	1761.8897	927.5546	172.0974	2.5308	16.0287	943.1614	1434.5671	6.7489	6.3398	157.3342	0	25635.9844	4.6399	64.9583	0.5483	7.1707
TCGA-HW-7491_0	667.2466	285.0515	314.3396	1.1599	2.3198	412.3532	611.5702	6.0896	9.0416	73.3652	0.58	29756.0737	0.58	10.1493	1.9023	1.7399
TCGA-HW-7493_0	1734.3688	1830.3465	252.0908	1.1947	37.4353	1103.9427	1745.918	39.4265	8.0207	539.6256	2.3895	18879.1876	1.9912	113.5006	1.5571	18.7176
TCGA-HW-7495_1	1889.8695	326.1704	37.9893	1.1512	11.8956	322.7168	556.4083	23.7913	6.5618	122.7936	0	21876.4083	0.7675	8.4421	6.3776	26.4774
TCGA-HW-8319_1	1698.3223	634.0614	40.2026	0.6331	23.7417	721.1143	830.3261	22.792	6.9864	416.5875	0.3166	24478.1133	0.6331	6.3311	5.6189	6.0146
TCGA-HW-8320_1	1859.5049	2290.9632	490.5957	0.3499	13.997	1239.0867	1538.2731	2.7994	5.2594	474.8491	0.3499	24506.2934	3.8492	17.4963	1.7881	3.1493
TCGA-HW-8321_1	1429.2418	1792.0544	1240.5534	1.6183	17.4771	989.7241	1456.7522	13.917	3.8968	224.29	7.444	21066.384	54.697	55.9916	2.3983	1.6183
TCGA-HW-8322_1	884.9299	702.3949	221.0864	1.4603	4.6729	554.6145	1073.8902	14.0187	17.868	100.4673	7.3014	27009.7371	1.7523	44.6846	2.2196	40.5958
TCGA-HW-A5KJ_1	1202.3869	159.6221	134.2616	2.9836	1.9891	1836.3998	188.4635	18.3988	14.3163	12.9289	0.4973	16350.8354	3.9781	117.3545	12.8493	2.4863
TCGA-HW-A5KK_0	2976.1513	2718.3388	328.9474	1.6447	26.727	2016.4474	6300.5757	54.6875	5.8306	843.3388	3.2895	12450.1604	20.5592	187.0888	7.4301	5.7566
TCGA-HW-A5KL_1	2625.8328	1427.9369	28.5213	0.9351	4.6756	1203.5067	2172.7645	7.0134	5.737	466.1601	0.4676	21197.896	2.3378	11.2215	4.0304	4.2081
TCGA-HW-A5KM_1	7009.9162	7166.2032	1583.9301	1.1084	62.3485	6978.8805	10723.9497	17.1805	2.2224	1344.5117	1.1084	18633.0844	9.6987	107.5166	1.4437	3.8795
TCGA-IK-7675_1	1549.0118	615.9219	358.1237	0.3175	5.3973	632.7486	947.3768	8.8896	16.0203	117.7871	0	30470.8088	0.635	34.9234	3.4161	1.5874
TCGA-IK-8125_1	1369.8588	629.0609	93.5257	0.926	10.4946	545.4125	689.868	13.89	7.7722	191.3728	3.0867	18287.7568	0	30.2492	0.4723	14.816
TCGA-KT-A74X_0	695.0782	648.2996	542.4021	0.861	3.4438	403.2142	1243.507	16.0712	16.12	55.1012	2.0089	20004.0637	2.2959	67.7285	1.8539	6.0267
TCGA-KT-A7W1_0	575.5183	666.0086	470.2205	3.9487	35.538	435.6696	566.3047	64.824	8.2659	114.1823	1.3162	5669.6808	13.1622	187.8908	20.9345	4.6068
TCGA-P5-A5ET_1	1037.9447	392.4901	4.7431	1.1858	3.5573	361.2648	573.5178	12.253	11.2213	118.5771	0.3953	19388.1028	0.7905	11.4625	3.3162	3.9526
TCGA-P5-A5EU_1	874.5763	3615.0659	1801.1299	5.6497	49.3409	1291.5254	2943.5028	10.5461	6.5198	531.8267	5.2731	12473.0508	2.6365	322.4105	18.8776	10.1695
TCGA-P5-A5EV_1	2175.1208	1256.8438	105.8776	3.6232	8.0515	973.43	1314.4122	11.2721	8.5628	367.5523	2.4155	19971.1473	0.8052	16.5056	2.6812	9.2593
