	BRCA1	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	EGFR	HER2	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT	TP53
TCGA-HW-8321_1	0.120177286	0.180245765	0.119700038	0.034575204	0.010387808	0.066273912	0.123786552	0.10744266	0.023334275	0.037006198	0.122286024	0.027776332	0.13313133	0.007458154	0.484269236	0.387192088	0.02983042	0.106455794	0.008453526	0.104375512
TCGA-HW-7490_1	0.144275127	0.222196942	0.061955888	0.004796491	0.016245112	0.060781517	0.117962872	0.1058064	0.011315706	0.012791646	0.122849918	0.04519	0.093388521	0	0.589314169	0.032845176	0.034607573	0.024337953	0.037457642	0.198790322
TCGA-HT-8111_1	0.198570952	0.538387738	0.060583039	0.003429646	0.02042835	0.034863284	0.182079393	0.210180693	0.033794374	0.010929678	0.152134064	0.107172107	0.408864959	0.006377002	0.272752112	0.025031536	0.030142355	0.176890708	0.072038589	0.172331223
TCGA-DU-7302_1	0.158917427	0.117989019	0.012384597	0.001662367	0	0.049113022	0.052944497	0.043614456	0.036002219	0.030618883	0.114979921	0.069142168	0.080922706	0.000341448	0.472719403	0.002412474	0.006173852	0.078668892	0.010682483	0.139703166
TCGA-FG-8182_1	0.171290861	0.386099856	0.08818318	0.002042062	0.00879077	0.067512014	0.179851565	0.193759002	0.016647698	0.097726683	0.089860195	0.054154154	0.470871074	0	0.46857631	0.007270691	0.006019457	0.276896922	0.008942466	0.087540572
TCGA-HT-7473_1	0.215068779	0.40932683	0.256828995	0.172590106	0.037623469	0.144471903	0.30991318	0.493608892	0.069407101	0.022876295	0.126631534	0.034024011	0.553612472	0.008074624	0.369901318	0.038898304	0.094462393	0.13837966	0.05740855	0.176681681
TCGA-HT-8105_1	0.121746672	0.183564804	0.039263086	0.016272879	0.004223036	0.064862514	0.100219765	0.067493972	0.030333886	0.024064127	0.21853358	0.18968495	0.05896497	0.00362518	0.363203651	0.018628005	0.035575342	0.206311089	0.015464787	0.164170566
TCGA-DU-6395_1	0.131447086	0.171337128	0.383348563	0.002951681	0.006730925	0.059643525	0.159343533	0.199040844	0.015236944	0.017915581	0.16389833	0.03774482	0.206636635	0.003151681	0.455940124	0.329073279	0.026256306	0.078970731	0.051122862	0.347184021
TCGA-FG-7641_1	0.126475931	0.091288771	0.010378907	0.001901281	0	0.031936206	0.037973155	0.025094843	0.038832277	0.043873271	0.104080826	0.072217894	0.060487827	0.000421901	0.476968564	0	0.000673043	0.408414194	0.054992063	0.126220722
TCGA-HT-A616_1	0.069991474	0.226472294	0.038944261	0.002332899	0.003088163	0.023714678	0.054450974	0.046266477	0.070978816	0.006267026	0.091204494	0.030998182	0.099939254	0.000963929	0.315990165	0.003405637	0.015377491	0.032456522	0.012564585	0.024321825
